postcode,locality,longitude,latitude
1000,Bruxelles,4.351697,50.8465573
1020,Laeken,4.3487134,50.883392
1030,Schaerbeek,4.3737121,50.8676041
1040,Etterbeek,4.3895104,50.8368511
1050,Ixelles,4.3815707,50.8222854
1060,Saint-Gilles,4.345668,50.8267409
1070,Anderlecht,4.3123401,50.8381411
1080,Molenbeek-Saint-Jean,4.3227779,50.8543551
1081,Koekelberg,4.3257084,50.8622633
1082,Berchem-Sainte-Agathe,4.292702,50.8639835
1083,Ganshoren,4.3175103,50.8712396
1090,Jette,4.3260903,50.8777634
1120,Neder-Over-Heembeek,4.3904888684211,50.89779605
1130,Haren,4.4125708732431,50.8919661
1140,Evere,4.4021602,50.8704524
1150,Woluwe-Saint-Pierre,4.4432967,50.8292429
1160,Auderghem,4.4331389,50.8156571
1170,Watermael-Boitsfort,4.4158177,50.799394
1180,Uccle,4.3372348,50.8018201
1190,Forest,4.3177512,50.8091426
1200,Woluwe-Saint-Lambert,4.4284842,50.8466928
1210,Saint-Josse-Ten-Noode,4.3723364,50.8530739
